winner_ioc,loser_ioc,winner_hand,loser_hand,num_winners,avg_winner_age,max_loser_age
HUN,GER,R,R,1,25.2,25.1
GER,GBR,R,U,1,33.5,28.7
TUR,BUL,R,R,1,28.2,30.2
CHI,CAN,R,R,1,27.9,21.9
COL,GBR,R,R,1,22.9,32.6
NED,SVK,R,R,1,32.95,30.2
PER,NOR,R,R,1,27.9,26.4
UKR,COL,U,R,1,28.3,23.5
LTU,PAK,U,R,1,19.0,43.0
TUR,SLO,R,U,1,25.900000000000002,19.7
UKR,GER,U,R,1,19.1,27.9
IRL,ESA,U,U,1,20.1,27.1
EGY,ARG,R,R,1,32.9,24.1
USA,EST,R,R,1,21.1,24.6
CYP,TUN,R,L,1,23.9,25.8
SUI,GRE,L,R,1,21.0,25.0
SRB,ZIM,R,R,1,24.0,30.5
JPN,RUS,L,R,1,27.9,30.0
FRA,AUS,R,U,1,26.6,22.5
AUT,PER,R,R,2,28.65,27.9
AUT,HUN,R,R,1,27.3,31.6
ARG,RSA,R,R,1,24.1,26.5
NOR,GER,R,R,2,24.549999999999997,33.4
HUN,SRB,R,R,2,27.549999999999997,33.2
TPE,ITA,U,R,1,24.5,21.5
AUS,SRB,U,R,1,22.6,28.3
SWE,CRO,R,U,1,27.5,18.1
CZE,SUI,R,R,1,23.0,38.5
CRO,CZE,U,R,1,18.1,21.9
SUI,CRO,R,R,1,38.5,25.6
CHI,JPN,R,U,1,27.3,26.2
CHN,POL,R,R,1,26.9,26.6
GER,POR,L,R,1,28.3,26.6
ARG,GBR,R,R,1,24.2,36.4
POL,GER,R,R,1,26.6,33.4
FRA,ESP,R,U,1,36.8,17.2
KAZ,USA,R,L,1,25.8,20.5
BLR,ARG,R,L,1,29.2,33.0
FRA,SWE,R,R,1,18.9,24.6
ARG,FRA,U,R,1,24.8,19.8
ESP,CAN,R,L,1,20.0,24.1
SRB,LTU,R,R,1,28.0,32.9
USA,USA,R,R,21,25.936956521739127,38.3
USA,FRA,R,L,9,27.380000000000003,35.1
POR,USA,R,R,2,26.049999999999997,38.0
AUS,USA,R,R,14,26.258823529411764,38.2
MDA,ESP,R,L,1,33.2,39.2
SRB,ITA,R,R,6,29.771428571428572,35.7
ESP,ARG,R,L,5,24.78,33.2
AUT,SVK,R,L,1,29.4,25.2
RUS,ITA,R,R,16,26.605555555555558,31.6
RUS,BUL,R,R,4,26.35,32.4
NED,SUI,L,L,1,26.9,26.6
NED,FRA,R,R,6,28.28333333333333,36.9
FRA,NED,R,R,4,22.775,28.0
ESP,KOR,R,R,2,24.833333333333332,26.1
ESP,HUN,R,R,3,29.066666666666666,34.5
ESP,CHI,R,R,3,22.325000000000003,27.7
BOL,SVK,R,L,1,29.6,25.2
PER,FRA,R,L,2,27.4,22.5
AUS,DEN,R,R,2,24.15,20.1
NOR,ARG,R,R,6,24.333333333333332,31.5
POL,RUS,R,R,2,26.2,25.9
GER,AUS,R,R,4,29.2,31.6
AUS,FIN,R,R,3,28.066666666666666,24.3
ESP,TUN,R,R,1,23.7,39.1
USA,HUN,R,R,4,24.775000000000002,31.5
BLR,NED,R,R,1,29.0,27.4
AUS,CHN,R,R,3,25.099999999999998,26.8
USA,ITA,L,R,2,20.65,35.7
SVK,ESP,L,L,1,25.2,35.1
CHN,ESP,R,R,1,23.3,25.8
AUS,ITA,R,R,9,26.61111111111111,36.3
ITA,FIN,R,R,2,21.9,24.2
USA,DEN,R,R,5,26.28,20.4
RUS,FRA,R,R,10,25.807142857142857,36.9
ITA,POL,R,R,2,23.03333333333333,26.1
NOR,BRA,R,L,1,24.0,28.5
FRA,ARG,L,R,1,34.5,30.8
SRB,CAN,R,L,1,35.6,23.7
FRA,TPE,R,R,1,26.5,21.4
BEL,KAZ,R,R,1,32.0,25.5
ITA,POR,R,R,1,27.6,25.9
FIN,AUS,R,R,1,23.7,24.7
USA,RUS,R,R,8,26.40909090909091,29.9
AUS,TPE,R,R,1,23.4,21.4
CZE,USA,R,R,7,21.77777777777778,30.5
BUL,SRB,R,R,1,31.6,27.6
USA,NOR,R,R,2,26.2,24.8
POR,ARG,R,R,1,33.8,23.5
FRA,AUS,L,R,8,28.187499999999996,30.0
ECU,SRB,R,R,1,31.1,23.4
FRA,KAZ,R,R,2,32.9,26.1
ESP,FRA,R,L,1,23.6,24.6
NED,NOR,R,R,1,27.4,24.2
ARG,PER,L,R,1,32.8,27.4
USA,ESP,U,R,1,24.5,25.8
FRA,AUT,R,R,2,31.75,29.5
ESP,POL,R,R,3,22.2,26.5
ARG,MDA,R,R,1,22.2,33.3
ARG,AUS,R,R,6,23.28333333333333,29.6
ESP,BUL,R,R,3,23.333333333333332,32.0
SWE,SUI,R,R,1,26.9,27.9
POL,GBR,R,L,1,26.1,21.2
BUL,USA,R,L,1,31.9,20.5
ITA,JPN,R,L,4,23.25,27.9
RUS,CHI,R,R,4,25.55,27.5
GRE,ARG,R,R,3,24.633333333333336,30.7
ECU,ESP,R,L,1,31.3,35.2
SUI,GER,R,R,2,33.4,32.9
SVK,SRB,L,R,1,25.3,27.8
CZE,MDA,R,R,1,21.4,33.4
JOR,SWE,L,R,1,19.4,27.0
SVK,JPN,L,R,1,25.3,30.2
BIH,GBR,R,L,1,30.9,29.2
CRO,POL,R,R,1,26.4,26.1
ESP,DEN,R,R,3,24.76666666666667,20.3
GER,CHI,R,R,4,29.299999999999997,27.9
FRA,CHI,R,R,1,29.3,27.7
GER,NED,R,L,1,26.2,27.3
DEN,GBR,R,R,1,20.1,22.2
USA,BOL,R,R,2,27.15,30.0
POL,ESP,R,L,1,26.3,35.4
ARG,FRA,L,R,4,30.5,27.9
BEL,CHI,R,R,1,32.5,25.5
ITA,COL,R,R,2,22.0,27.0
SRB,AUT,R,R,1,19.9,29.8
ESP,ITA,L,R,2,35.36666666666667,36.1
USA,GER,R,L,1,24.5,29.2
JPN,CHN,R,L,2,29.45,18.6
GER,GBR,L,R,1,29.2,33.1
AUS,AUT,R,R,1,23.9,27.1
CRO,HUN,U,R,1,17.9,23.7
HUN,ARG,R,L,1,23.7,21.6
SVK,AUT,L,R,1,25.6,27.2
AUT,CHN,R,R,1,29.9,26.7
FRA,ARG,R,L,2,23.45,21.7
FIN,FRA,R,L,4,24.099999999999998,24.9
CZE,AUS,R,R,2,22.35,27.5
GER,FRA,L,R,2,28.8,37.3
ESP,GER,R,L,1,20.3,29.3
BUL,SVK,R,L,1,32.2,25.7
CZE,FRA,L,R,1,30.1,28.4
CAN,SUI,R,R,1,23.2,21.7
CAN,POL,R,R,1,23.2,26.6
SRB,DEN,R,R,3,32.300000000000004,20.5
POL,ARG,R,R,1,26.7,25.2
KAZ,CHI,R,R,1,26.3,28.0
GER,HUN,R,R,2,30.0,31.7
FRA,ESP,L,L,1,35.3,35.8
AUT,USA,L,R,1,24.4,26.3
FIN,ARG,R,R,1,23.8,27.8
KOR,BEL,R,R,1,25.3,32.1
CRO,AUT,R,R,1,25.766666666666666,29.4
ARG,LTU,R,U,1,24.55,19.6
BRA,DEN,L,R,1,29.2,20.3
ISR,JPN,L,R,1,23.6,20.2
BRA,CHN,R,U,1,21.8,25.3
BRA,CHN,L,U,1,28.6,25.0
ISR,LAT,R,R,1,27.5,20.6
THA,ROU,R,R,1,22.4,20.3
IND,MAR,R,U,1,24.6,20.3
MON,ECU,R,R,1,27.0,31.7
PAK,INA,U,U,1,21.5,
SLO,LUX,L,U,1,32.9,22.1
EGY,PAR,U,R,1,23.9,25.1
ARG,BRA,R,R,1,22.6,25.5
AUS,CHN,U,R,1,22.5,26.8
USA,BEL,R,R,1,28.4,29.6
AUS,ARG,L,R,1,30.6,31.0
CHI,CHN,R,U,1,27.3,
AUT,FRA,L,R,1,24.3,29.6
BUL,ESP,R,R,2,32.15,30.1
GBR,KAZ,R,R,1,33.3,35.7
FIN,GER,R,R,1,24.5,28.6
JPN,ARG,R,R,1,20.3,24.2
EST,ESP,R,R,1,20.4,26.4
POL,FRA,R,L,1,26.6,25.3
POL,NED,R,R,2,26.4,27.3
SUI,NOR,L,R,1,21.1,24.8
SUI,BLR,R,R,1,38.1,29.1
CHN,SUI,R,L,1,23.6,26.9
AUS,BLR,R,R,1,24.2,29.2
CAN,ITA,L,R,1,24.1,22.2
SRB,HUN,R,R,1,36.0,31.3
RUS,MDA,R,R,1,27.0,33.5
BRA,ARG,R,L,1,23.2,33.0
NOR,DEN,R,R,1,24.4,20.0
CAN,SRB,R,R,1,32.4,23.7
KAZ,BEL,R,R,1,25.9,32.5
JPN,ESP,R,L,1,25.1,41.7
HUN,FRA,R,R,5,26.620000000000005,37.1
SRB,MDA,R,R,1,23.4,33.2
USA,CAN,R,L,3,25.2,23.9
ECU,TPE,R,R,1,31.2,24.7
USA,USA,R,U,7,27.037499999999998,26.0
CRO,USA,U,R,1,33.6,30.3
ESP,SRB,R,R,6,24.2,36.1
PER,ITA,R,R,1,27.3,20.9
PER,AUT,R,R,1,27.3,29.4
GBR,ARG,L,L,2,27.4,22.1
RUS,CAN,R,R,2,27.0,22.5
NED,DEN,L,R,1,26.9,19.7
USA,NED,R,R,4,24.95,27.7
RUS,AUS,R,R,14,26.87777777777778,33.5
CAN,ESP,R,R,3,22.566666666666666,25.8
FRA,GEO,R,R,2,27.45,30.9
GBR,UKR,L,R,1,29.1,22.9
GBR,ESP,L,R,1,27.4,26.1
ESP,COL,L,R,1,35.0,26.6
SRB,ARG,R,L,4,29.15,33.1
SVK,BRA,L,R,1,25.2,16.5
FRA,USA,R,R,12,29.157142857142862,37.7
DEN,POR,R,R,1,19.8,26.0
AUS,ITA,R,U,2,26.4,29.7
ESP,USA,L,R,1,41.4,26.8
JPN,USA,R,R,2,25.15,25.9
SRB,ITA,R,U,1,27.7,29.6
ITA,ARG,R,L,3,27.5,32.9
BRA,ESP,L,L,1,28.7,35.1
ESP,NED,R,R,5,26.880000000000003,35.7
CAN,ARG,R,R,2,22.45,24.5
HUN,SVK,R,L,1,31.0,25.2
ITA,FRA,R,L,6,24.433333333333334,34.6
ARG,AUS,R,U,1,22.1,22.0
AUS,BUL,R,R,2,26.9,31.9
GBR,ARG,R,R,2,34.349999999999994,24.6
GER,FRA,R,R,7,27.099999999999998,37.0
ARG,GEO,R,R,1,27.8,31.0
TPE,KAZ,R,R,1,24.8,25.7
USA,GBR,R,R,6,24.883333333333336,36.2
RUS,POL,R,R,1,21.9,22.9
ITA,BRA,R,R,2,28.6,24.8
CRO,FRA,R,L,2,25.6,34.5
GER,SRB,L,R,1,27.5,27.5
KOR,ESP,R,R,1,25.1,34.7
RSA,ITA,R,R,1,25.8,20.8
FRA,BRA,R,L,1,30.6,28.6
DEN,SRB,R,R,3,20.03333333333333,35.9
AUS,TPE,R,U,1,23.9,23.7
USA,CHN,L,R,1,20.2,26.2
JPN,CZE,L,R,1,27.3,20.2
POL,ITA,R,R,2,26.1,27.6
CAN,JPN,L,R,1,23.7,29.9
RUS,FIN,R,R,2,26.2,24.0
USA,CHI,L,R,1,20.2,27.2
GBR,AUS,R,R,4,34.475,26.7
POL,CAN,R,L,1,25.9,23.7
USA,AUS,L,R,2,20.6,29.4
USA,USA,L,R,6,20.7125,30.2
GRE,RUS,R,R,2,24.799999999999997,27.4
ARG,ESP,R,L,3,29.13333333333333,35.5
ARG,ITA,L,R,1,32.7,27.7
USA,TPE,R,R,2,31.1,34.1
FRA,POL,L,R,1,34.7,26.0
CHN,GBR,R,R,2,25.049999999999997,28.1
AUS,SWE,R,R,1,23.6,24.5
AUS,BEL,R,R,2,25.6,29.3
FRA,CHN,L,L,1,34.7,18.1
POR,ITA,R,L,1,34.0,21.3
ARG,TPE,R,R,1,27.9,21.6
AUS,COL,R,R,1,29.8,26.7
AUS,GER,R,R,6,27.21666666666667,26.4
AUS,NED,R,R,3,25.900000000000002,27.4
NOR,NED,R,R,1,24.2,27.5
USA,SUI,R,R,3,28.399999999999995,38.4
SUI,NED,R,R,1,38.0,26.7
GBR,RUS,R,R,2,33.0,26.9
JPN,BEL,L,R,1,27.5,32.3
FIN,KAZ,R,R,1,24.0,25.8
DEN,CHI,R,R,1,19.9,26.8
ITA,GER,R,R,4,23.174999999999997,33.4
MDA,ARG,R,R,1,33.4,31.1
RUS,BRA,R,L,1,26.9,28.8
RUS,SUI,R,R,2,24.15,38.5
DEN,KAZ,R,R,1,19.9,25.8
FRA,GER,R,R,4,31.025,31.9
KAZ,ITA,R,R,2,24.45,28.4
POL,USA,R,R,3,26.53333333333333,27.1
CHI,FRA,R,L,3,27.833333333333332,35.3
DEN,GBR,R,U,1,20.1,27.6
GBR,FRA,U,L,1,27.6,24.9
RSA,ESP,R,R,1,26.3,26.4
SUI,AUS,L,R,2,20.9,24.0
BUL,JPN,R,U,1,32.1,25.9
CZE,USA,L,R,1,29.9,22.9
COL,JPN,R,L,1,27.0,27.7
GER,GER,R,L,2,28.049999999999997,29.1
SWE,SVK,R,L,1,24.8,25.5
CAN,MDA,L,R,1,24.2,33.6
SRB,USA,R,L,2,32.1,20.8
ESP,SUI,R,R,1,26.1,38.3
RUS,NOR,R,R,1,25.7,24.5
NOR,AUT,R,R,1,24.5,27.1
ARG,SWE,R,R,1,31.3,20.1
FRA,AUS,L,U,1,35.0,22.3
AUS,USA,R,U,2,28.2,24.8
CRO,CRO,U,R,1,17.9,22.4
SRB,BRA,R,R,1,28.1,23.3
CRO,CHI,R,R,1,25.4,27.1
AUS,TUN,R,R,1,24.4,28.0
FRA,JPN,R,R,3,29.333333333333332,30.5
GER,JPN,R,L,1,26.3,27.8
GER,BUL,R,R,4,26.275,32.3
CZE,FRA,U,R,1,17.9,29.5
SUI,GER,L,R,2,24.76666666666667,29.5
ITA,JOR,R,L,1,28.4,19.9
GBR,GER,L,R,1,21.8,33.5
HUN,AUT,R,L,1,31.7,24.4
GBR,SUI,U,L,1,28.7,27.3
FRA,SUI,L,R,1,25.2,38.4
SUI,GBR,R,L,1,38.4,28.0
GER,SUI,R,R,1,25.7,37.8
ARG,LTU,R,R,1,22.7,33.2
POR,AUT,R,R,1,30.45,30.0
BRA,DEN,R,R,1,23.5,25.3
IND,DEN,L,R,1,33.2,19.5
PER,IRL,U,R,1,23.65,26.4
MAR,IND,U,R,1,20.3,26.6
LBN,JAM,U,U,1,18.8,18.5
SLO,LUX,L,R,1,32.9,25.7
LUX,SLO,U,U,1,22.1,19.2
EGY,PAR,R,R,1,32.3,26.8
ESA,JOR,R,U,1,32.2,24.5
VIE,INA,R,R,1,25.9,25.6
BUL,PER,R,R,1,32.3,27.9
CZE,CHN,R,R,1,20.9,36.9
NED,JPN,R,U,1,27.2,26.1
JPN,CHN,L,L,1,27.9,18.6
POL,TPE,R,U,1,26.6,24.5
ARG,HUN,R,R,2,23.700000000000003,31.6
RUS,JPN,R,R,1,30.1,20.3
CAN,RUS,R,R,1,23.2,22.8
ESP,BEL,R,R,1,30.0,32.3
BRA,CRO,L,R,1,28.8,25.1
CRO,BRA,R,L,1,26.4,28.9
BRA,FRA,L,L,1,28.9,34.8
GRE,CZE,R,L,1,24.7,29.8
SVK,FRA,L,L,1,25.4,22.6
AUS,SUI,U,L,1,22.2,26.9
ITA,FRA,R,R,13,23.30666666666667,37.0
SRB,USA,R,R,9,31.5,29.5
USA,ECU,R,R,4,29.549999999999997,31.3
USA,BLR,R,R,4,27.0,29.2
GBR,ARG,L,R,3,25.433333333333334,23.5
SRB,ARG,R,R,9,32.809999999999995,30.5
ARG,ESP,R,R,7,25.44,37.2
ITA,ARG,R,R,9,23.74,30.8
PER,POR,R,R,1,27.3,33.8
ARG,BOL,R,R,2,22.8,29.6
ITA,GRE,R,R,2,21.799999999999997,25.2
GRE,FIN,R,R,1,24.5,23.8
AUS,RUS,R,R,10,25.560000000000002,32.4
FIN,GBR,R,R,1,23.8,32.7
CHI,ESP,R,R,3,26.575000000000003,26.0
CHI,ITA,R,R,5,27.52,30.7
POL,SWE,R,R,1,26.0,24.4
KAZ,BUL,R,R,3,25.8,31.7
SWE,BEL,R,R,1,24.4,32.2
KAZ,FRA,R,R,3,28.04,29.6
BEL,SVK,R,R,1,32.2,24.9
USA,ITA,R,R,10,25.481818181818184,35.6
SRB,POL,R,R,3,36.06666666666667,26.7
USA,GBR,R,L,5,25.139999999999997,28.1
GBR,RUS,L,R,4,26.025,26.6
RUS,BLR,R,R,2,26.9,29.1
CHI,AUS,L,R,1,25.7,28.8
POL,AUS,R,R,5,26.316666666666666,29.0
FRA,ITA,L,R,3,28.36666666666667,36.4
GER,ARG,R,R,7,29.157142857142855,31.1
ESP,CHN,R,R,2,29.4,23.6
AUS,GRE,R,R,1,28.8,24.5
ESP,SUI,R,L,2,25.85,26.7
GRE,BEL,R,R,1,24.3,32.0
BUL,CYP,R,R,1,29.4,26.5
GBR,ESP,L,L,1,27.3,36.5
ITA,BRA,R,L,1,26.7,28.5
CRO,FRA,R,R,2,26.15,27.5
JPN,AUS,L,R,3,27.600000000000005,29.5
SRB,AUS,R,R,8,28.8375,29.9
FRA,SRB,R,R,6,28.61666666666667,33.0
USA,IND,R,U,1,24.9,
GER,SWE,L,R,1,27.5,26.7
BEL,USA,R,R,1,32.0,26.6
FRA,USA,R,L,1,26.2,20.2
KOR,SWE,R,R,1,25.1,24.3
RUS,SUI,R,L,1,26.6,26.5
SWE,USA,R,R,2,24.55,27.7
GBR,ITA,L,R,2,21.4,27.6
FRA,CHN,L,R,1,23.7,23.2
GBR,ARG,R,L,1,32.6,32.8
FRA,BOL,R,R,1,27.8,29.5
GER,PER,R,R,2,28.549999999999997,27.5
ESP,POR,R,R,2,27.3,33.7
NOR,CZE,R,R,2,24.3,22.2
HUN,RSA,R,R,1,30.9,25.8
GRE,NED,R,R,2,24.75,28.0
RUS,JPN,R,L,4,26.349999999999998,28.0
GRE,CZE,R,R,2,24.75,23.0
USA,MDA,R,R,2,24.35,33.7
MDA,USA,R,U,1,33.2,
ITA,SRB,R,R,7,25.7375,36.4
USA,SUI,R,L,5,25.74,26.7
CAN,ARG,L,L,1,23.9,32.8
CZE,ITA,R,R,1,21.3,21.0
CZE,ARG,R,R,2,21.450000000000003,31.0
USA,NED,R,L,1,25.1,27.0
NED,USA,L,R,1,27.0,37.9
CHI,BEL,R,R,1,26.8,23.8
CHI,BOL,R,R,3,27.166666666666668,30.1
GER,JPN,R,R,2,28.75,25.2
DEN,AUT,R,R,2,20.2,30.1
GER,KAZ,R,R,1,25.9,25.8
NED,HUN,R,R,1,27.5,31.1
GRE,AUS,R,R,2,24.75,24.4
BUL,ECU,R,R,1,31.9,31.3
GER,GER,R,R,4,27.720000000000006,31.4
CHN,GBR,R,L,1,26.5,27.6
ITA,CRO,R,R,2,21.2,34.8
GER,CAN,R,L,1,26.1,24.1
USA,RSA,R,R,1,27.1,26.3
SWE,GBR,R,L,1,24.7,29.4
SRB,CHN,R,R,3,23.933333333333337,26.7
FRA,RUS,L,R,7,32.3,27.3
HUN,NED,R,R,1,31.3,27.0
USA,JPN,L,R,2,20.85,30.7
GRE,AUT,R,R,4,24.8,30.1
FRA,RSA,R,R,2,28.55,26.3
USA,CAN,R,R,4,27.659999999999997,32.6
BUL,BLR,R,R,1,32.1,29.3
GRE,GBR,R,R,1,24.8,36.1
SUI,ARG,R,R,3,38.300000000000004,31.3
RUS,CAN,R,L,1,25.9,24.2
PER,ARG,R,L,1,27.7,33.3
PER,FIN,R,R,1,27.7,22.0
AUT,ESP,R,R,1,27.1,26.5
NED,AUS,L,R,1,27.3,25.2
USA,KOR,R,U,1,33.5,25.3
JPN,AUS,R,R,4,28.675,29.2
FRA,NOR,R,R,1,19.1,24.5
CHN,GER,R,R,1,26.7,31.6
JPN,ESP,R,U,1,30.4,17.5
ARG,SVK,R,L,1,22.5,25.6
GER,SUI,R,L,2,24.75,27.0
SVK,FRA,L,R,1,25.6,19.2
CHN,SRB,R,R,3,25.7,33.1
AUS,GER,R,L,1,24.4,29.2
CRO,BLR,R,R,1,26.7,29.4
USA,GBR,U,L,1,24.9,27.9
NED,CAN,L,R,1,27.3,21.8
USA,USA,U,U,1,24.9,21.8
GBR,NED,R,R,2,33.150000000000006,27.8
GBR,BUL,R,R,1,33.1,32.2
CHN,ECU,L,R,1,18.4,31.6
ESP,NOR,R,R,2,22.200000000000003,24.7
FRA,CHI,L,R,2,25.200000000000003,28.0
GER,FRA,R,L,2,26.4,35.1
ARG,CZE,R,R,3,25.933333333333337,21.8
CRO,AUS,R,U,1,26.7,22.4
CHN,BLR,R,R,1,26.8,29.4
GBR,POR,L,R,1,21.6,26.4
TPE,AUS,U,R,2,24.45,27.3
CHI,FRA,R,R,1,27.8,19.2
AUS,RUS,U,R,1,22.5,24.7
ARG,BLR,L,R,1,21.7,29.5
AUT,KAZ,R,R,2,28.6,26.2
PER,SRB,R,R,1,27.8,23.9
GBR,GER,L,L,1,21.8,28.3
HUN,HUN,R,R,1,24.0,24.0
HUN,FRA,R,L,2,27.6,24.0
DEN,GRE,R,R,1,20.5,25.2
FRA,SUI,L,L,2,30.25,21.1
SRB,KOR,R,R,1,30.65,26.1
FIN,CRO,R,R,1,24.4,25.5
CRO,NED,R,R,1,25.5,27.1
BEL,KOR,R,R,1,27.85,25.5
CZE,POR,R,R,1,21.53333333333333,33.8
FRA,HUN,L,R,2,29.65,30.9
POR,AUT,R,L,1,26.5,24.3
GER,BIH,L,R,1,28.2,18.9
ISR,JPN,R,R,1,28.1,20.2
BRA,CHN,U,U,1,20.9,25.3
LAT,ISR,R,R,1,27.5,27.5
MEX,CHN,U,U,1,18.3,26.9
CHN,MEX,U,R,1,25.9,27.1
ECU,FRA,R,U,1,31.7,24.8
PAK,INA,R,U,1,43.6,
EGY,URU,R,L,1,32.4,23.5
MEX,EGY,R,R,1,38.6,32.3
JOR,ESA,U,U,1,24.5,
JAM,EST,R,R,1,29.0,24.6
INA,VIE,R,R,1,28.5,29.2
LUX,RSA,U,U,1,21.5,26.3
CZE,ARG,L,R,1,30.1,25.0
RUS,AUS,R,L,1,27.3,30.6
GBR,CHN,R,U,1,36.3,23.2
CZE,BLR,R,R,1,21.8,30.8
BUL,CHI,R,R,1,32.3,27.9
HUN,NOR,R,R,1,23.9,24.7
POL,CHN,R,R,1,26.6,26.9
CHN,ARG,R,R,2,26.75,24.2
AUT,GBR,R,R,2,25.85,33.3
RUS,BRA,R,R,1,26.1,23.6
PER,RUS,R,R,1,28.0,22.8
POR,GER,R,L,1,26.6,29.4
KAZ,ESP,R,R,1,25.8,26.0
SVK,ITA,L,R,1,25.4,28.0
FRA,CAN,R,R,1,18.9,22.7
DEN,ARG,R,U,1,20.0,24.8
NOR,CHN,R,R,1,24.4,26.6
AUS,USA,U,R,1,22.2,28.1
AUS,NED,U,L,1,22.2,27.2
SUI,USA,L,R,1,26.9,26.0
USA,SRB,R,R,5,26.17142857142857,33.1
MDA,USA,R,R,3,33.46666666666667,30.0
JPN,GER,L,R,3,27.733333333333334,33.3
USA,USA,R,L,6,26.03333333333333,32.9
ESP,ARG,R,R,7,25.9,30.4
ARG,BRA,R,L,3,26.933333333333337,35.1
ARG,ARG,L,R,3,21.5,30.9
GER,KOR,R,R,1,25.8,25.1
POL,ESP,R,R,3,26.2,35.5
CZE,RUS,R,R,1,21.2,25.3
ESP,FRA,R,R,8,24.241666666666664,36.3
KOR,JOR,R,L,1,25.2,19.2
ESP,ITA,R,R,9,23.38181818181818,35.7
ITA,CHI,R,R,3,28.6,27.9
BRA,AUT,L,R,1,28.7,29.4
POL,FRA,R,R,2,26.05,36.8
POL,KAZ,R,R,3,26.066666666666663,26.1
USA,FRA,R,R,19,25.349999999999998,37.3
SUI,BEL,R,R,1,37.9,23.7
DEN,ITA,R,R,4,19.939999999999998,35.9
JPN,NOR,R,R,1,30.0,24.1
USA,GER,R,R,12,26.237500000000004,33.1
POR,USA,R,L,1,26.0,30.4
AUS,MEX,R,U,1,24.0,17.8
RUS,KAZ,R,R,3,26.666666666666668,26.0
CRO,AUS,R,R,1,26.2,26.8
NED,RUS,R,R,4,26.975,29.6
BRA,ITA,L,R,1,28.7,30.4
ESP,CHI,R,L,1,25.8,25.7
CHI,NOR,R,R,2,27.15,24.4
RUS,FRA,R,L,7,26.03333333333333,35.2
ESP,AUS,R,R,7,23.477777777777778,33.5
JPN,ITA,R,R,1,30.1,26.8
FIN,FRA,R,R,3,24.100000000000005,31.1
FRA,ESP,L,R,2,24.35,30.2
JPN,ESP,R,R,1,30.1,29.9
ITA,GRE,R,U,1,20.8,18.3
SUI,RUS,L,R,2,26.8,22.7
GBR,AUS,L,R,4,26.2,29.1
FRA,ARG,R,R,6,28.099999999999998,31.0
CAN,RUS,L,R,1,23.7,25.4
CAN,AUS,L,U,1,23.7,21.8
ESP,IND,R,R,1,25.6,28.1
FRA,POR,R,R,3,27.825000000000003,34.8
ESP,GBR,L,L,1,36.6,21.0
CZE,ESP,R,R,3,21.625,26.6
HUN,ARG,R,R,2,31.0,30.8
USA,KOR,R,R,2,26.950000000000003,25.7
SVK,SUI,L,R,1,25.1,37.8
SRB,BEL,R,R,3,28.200000000000003,24.2
ESP,KAZ,R,R,1,23.6,25.5
GRE,AUS,R,U,2,24.75,22.6
CAN,SVK,R,L,1,22.4,25.1
SRB,GRE,R,R,1,35.6,24.4
ARG,CHI,L,L,1,32.3,25.6
CHN,USA,R,R,5,25.242857142857144,37.7
DEN,ARG,R,R,3,20.15,30.5
ARG,CHN,R,R,4,27.650000000000002,26.6
SVK,JPN,L,L,1,25.2,27.4
CAN,BRA,R,L,1,22.6,28.8
USA,KAZ,R,R,3,28.03333333333333,26.2
SRB,AUT,R,L,1,23.5,23.8
ESP,POR,R,U,1,26.2,18.9
NED,USA,L,U,1,27.0,24.5
GER,NOR,R,R,1,32.9,24.2
ITA,FRA,R,U,1,19.6,24.3
ESP,GRE,R,R,2,19.95,24.7
CAN,SVK,L,R,1,24.0,30.4
POR,BLR,R,R,1,26.1,29.1
USA,AUT,R,R,3,25.76666666666667,29.6
ESP,GER,R,R,4,20.9,32.9
GER,GRE,R,R,2,32.25,24.8
RUS,CHN,R,R,3,28.433333333333337,26.9
JPN,SVK,L,L,1,27.5,25.3
SRB,CAN,R,R,1,32.8,22.7
KAZ,RUS,R,R,1,26.0,25.6
BUL,ARG,R,R,1,32.0,24.8
FRA,GBR,L,L,3,31.8,29.4
FRA,ARG,L,L,1,34.9,33.1
JPN,SUI,R,L,1,25.2,27.0
NED,CHN,R,R,1,27.7,26.7
COL,GER,R,R,2,27.05,29.9
POL,GBR,R,R,1,26.3,27.0
BUL,USA,R,R,4,32.150000000000006,28.4
RUS,HUN,R,R,4,25.65,34.9
GRE,SRB,R,R,1,24.8,28.0
AUT,SVK,R,R,1,21.9,30.6
AUT,SRB,R,R,2,25.9,33.0
SWE,SWE,R,R,1,20.1,27.2
BRA,COL,L,R,1,29.1,27.0
USA,USA,U,R,1,18.8,38.2
USA,IND,U,R,1,19.3,26.5
BLR,KAZ,R,R,1,29.4,22.7
JPN,CAN,R,R,1,25.3,22.9
AUS,RSA,R,R,2,27.25,37.2
JPN,CHN,R,R,1,25.3,23.7
RUS,NZL,R,R,1,29.9,26.5
FRA,GRE,R,R,3,31.03333333333333,25.1
USA,ESP,L,R,2,20.85,26.5
GER,NED,R,R,1,26.2,27.0
CAN,GBR,R,R,1,21.8,33.2
SRB,USA,R,U,2,32.1,24.7
ARG,GER,L,R,1,21.7,31.7
USA,AUT,U,R,1,18.9,27.2
USA,BAR,R,R,1,25.6,31.3
USA,ESP,U,L,1,19.0,35.6
NOR,KAZ,R,R,2,24.55,26.3
BUL,GRE,R,R,1,32.4,25.2
BUL,KAZ,R,R,1,32.4,26.3
NED,FRA,R,L,1,28.0,35.3
ITA,KAZ,R,R,2,29.1,26.3
FRA,NED,R,L,1,32.6,27.6
